央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1#http://23.237.228.134/live5/CCTV1.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1#http://rihou.cc:555/tv/[mg]CCTV-01#https://live.chinacert.cftest5.cn/mg/?id=608807420#http://t.061899.xyz/tl/tl.php?id=cctv1#http://106.53.99.30/tv/hot.php?id=cctv1#http://8.138.7.223/tv/ptbtv.php?id=27#http://p.ytelc.com/169l/0/cctv.php?id=cctv1#http://8.138.7.223/tv/migu720.php?id=CCTV1
CCTV2,http://go.bkpcp.top/mg/cctv2#http://23.237.228.134/live5/CCTV2.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2#http://rihou.cc:555/tv/[mg]CCTV-02#https://live.chinacert.cftest5.cn/mg/?id=631780532#http://t.061899.xyz/tl/tl.php?id=cctv2#http://106.53.99.30/tv/hot.php?id=cctv2#http://8.138.7.223/tv/cctv2.php#http://p.ytelc.com/169l/0/cctv.php?id=cctv2#http://8.138.7.223/tv/migu720.php?id=CCTV2
CCTV3,http://go.bkpcp.top/mg/cctv3#http://23.237.228.134/live5/CCTV3.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3#http://rihou.cc:555/tv/[mg]CCTV-03#https://live.chinacert.cftest5.cn/mg/?id=624878271#http://t.061899.xyz/tl/tl.php?id=cctv3#http://106.53.99.30/tv/hot.php?id=cctv3#http://www.tszhgjj.cn:7000/rtp/239.253.92.191:6057#http://8.138.7.223/tv/migu720.php?id=CCTV3
CCTV4,http://go.bkpcp.top/mg/cctv4#http://go.bkpcp.top/mg/cctv4o#http://go.bkpcp.top/mg/cctv4m#http://23.237.228.134/live5/CCTV4.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4#http://rihou.cc:555/tv/[mg]CCTV-04#https://live.chinacert.cftest5.cn/mg/?id=631780421#https://live.chinacert.cftest5.cn/mg/?id=608807419#https://live.chinacert.cftest5.cn/mg/?id=608807416#http://t.061899.xyz/tl/tl.php?id=cctv4#http://j.s.bkpcp.top/jj/cctv4o#http://j.s.bkpcp.top/jj/cctv4m#http://106.53.99.30/tv/hot.php?id=cctv4#http://106.53.99.30/tv/hot.php?id=cctv4m#http://106.53.99.30/tv/hot.php?id=cctv4o#http://p.ytelc.com/169l/0/cctv.php?id=cctv4#http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631#http://8.138.7.223/tv/migu720.php?id=CCTV4
CCTV5,http://go.bkpcp.top/mg/cctv5#http://23.237.228.134/live5/CCTV5.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5#http://rihou.cc:555/tv/[mg]CCTV-05#https://live.chinacert.cftest5.cn/mg/?id=641886683#http://t.061899.xyz/tl/tl.php?id=cctv5#http://106.53.99.30/tv/hot.php?id=cctv5#http://www.tszhgjj.cn:7000/rtp/239.253.92.181:6046#http://8.138.7.223/tv/migu720.php?id=CCTV5
CCTV5+,http://go.bkpcp.top/mg/cctv5p#http://23.237.228.134/live5/CCTV5p.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p#http://rihou.cc:555/tv/[mg]CCTV-5p#https://live.chinacert.cftest5.cn/mg/?id=641886773#http://t.061899.xyz/tl/tl.php?id=cctv5p#http://j.s.bkpcp.top/jj/cctv5p#http://106.53.99.30/tv/hot.php?id=cctv5p#http://www.tszhgjj.cn:7000/rtp/239.253.92.82:8013#http://8.138.7.223/tv/migu720.php?id=CCTV5p
CCTV6,http://go.bkpcp.top/mg/cctv6#http://23.237.228.134/live5/CCTV6.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6#http://rihou.cc:555/tv/[mg]CCTV-06#https://live.chinacert.cftest5.cn/mg/?id=624878396#http://t.061899.xyz/tl/tl.php?id=cctv6#http://106.53.99.30/tv/hot.php?id=cctv6#http://www.tszhgjj.cn:7000/rtp/239.253.92.193:6058#http://8.138.7.223/tv/migu720.php?id=CCTV6
CCTV7,http://go.bkpcp.top/mg/cctv7#http://23.237.228.134/live5/CCTV7.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7#http://rihou.cc:555/tv/[mg]CCTV-07#https://live.chinacert.cftest5.cn/mg/?id=673168121#http://t.061899.xyz/tl/tl.php?id=cctv7#http://106.53.99.30/tv/hot.php?id=cctv7#http://p.ytelc.com/169l/0/cctv.php?id=cctv7#http://8.138.7.223/tv/migu720.php?id=CCTV7
CCTV8,http://go.bkpcp.top/mg/cctv8#http://23.237.228.134/live5/CCTV8.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8#http://rihou.cc:555/tv/[mg]CCTV-08#https://live.chinacert.cftest5.cn/mg/?id=624878356#http://t.061899.xyz/tl/tl.php?id=cctv8#http://106.53.99.30/tv/hot.php?id=cctv8#http://www.tszhgjj.cn:7000/rtp/239.253.92.195:6060#http://8.138.7.223/tv/migu720.php?id=CCTV8
CCTV9,http://go.bkpcp.top/mg/cctv9#http://23.237.228.134/live5/CCTV9.m3u8#http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9#http://rihou.cc:555/tv/[mg]CCTV-09#https://live.chinacert.cftest5.cn/mg/?id=673168140#http://t.061899.xyz/tl/tl.php?id=cctv9#http://106.53.99.30/tv/hot.php?id=cctv9#http://p.ytelc.com/169l/0/cctv.php?id=cctv9#http://8.138.7.223/tv/migu720.php?id=CCTV9
